air_temp,soil_temp,humidity,moisture,rainfall,crop,crop_season,season_encoded,query_season,query_season_encoded,is_correct_season
20.87974371,30.338562577902906,82.00274423,43.62668228189967,202.9355362,rice,monsoon,2,winter,0,0
20.87974371,30.338562577902906,82.00274423,43.62668228189967,202.9355362,rice,monsoon,2,summer,1,0
20.87974371,30.338562577902906,82.00274423,43.62668228189967,202.9355362,rice,monsoon,2,monsoon,2,1
20.87974371,30.338562577902906,82.00274423,43.62668228189967,202.9355362,rice,monsoon,2,year-round,3,0
21.77046169,30.338562577902906,80.31964408,43.62668228189967,226.6555374,rice,monsoon,2,winter,0,0
21.77046169,30.338562577902906,80.31964408,43.62668228189967,226.6555374,rice,monsoon,2,summer,1,0
21.77046169,30.338562577902906,80.31964408,43.62668228189967,226.6555374,rice,monsoon,2,monsoon,2,1
21.77046169,30.338562577902906,80.31964408,43.62668228189967,226.6555374,rice,monsoon,2,year-round,3,0
23.00445915,30.338562577902906,82.3207629,43.62668228189967,263.9642476,rice,monsoon,2,winter,0,0
23.00445915,30.338562577902906,82.3207629,43.62668228189967,263.9642476,rice,monsoon,2,summer,1,0
23.00445915,30.338562577902906,82.3207629,43.62668228189967,263.9642476,rice,monsoon,2,monsoon,2,1
23.00445915,30.338562577902906,82.3207629,43.62668228189967,263.9642476,rice,monsoon,2,year-round,3,0
26.49109635,30.338562577902906,80.15836264,43.62668228189967,242.8640342,rice,monsoon,2,winter,0,0
26.49109635,30.338562577902906,80.15836264,43.62668228189967,242.8640342,rice,monsoon,2,summer,1,0
26.49109635,30.338562577902906,80.15836264,43.62668228189967,242.8640342,rice,monsoon,2,monsoon,2,1
26.49109635,30.338562577902906,80.15836264,43.62668228189967,242.8640342,rice,monsoon,2,year-round,3,0
20.13017482,30.338562577902906,81.60487287,43.62668228189967,262.7173405,rice,monsoon,2,winter,0,0
20.13017482,30.338562577902906,81.60487287,43.62668228189967,262.7173405,rice,monsoon,2,summer,1,0
20.13017482,30.338562577902906,81.60487287,43.62668228189967,262.7173405,rice,monsoon,2,monsoon,2,1
20.13017482,30.338562577902906,81.60487287,43.62668228189967,262.7173405,rice,monsoon,2,year-round,3,0
23.05804872,30.338562577902906,83.37011772,43.62668228189967,251.0549998,rice,monsoon,2,winter,0,0
23.05804872,30.338562577902906,83.37011772,43.62668228189967,251.0549998,rice,monsoon,2,summer,1,0
23.05804872,30.338562577902906,83.37011772,43.62668228189967,251.0549998,rice,monsoon,2,monsoon,2,1
23.05804872,30.338562577902906,83.37011772,43.62668228189967,251.0549998,rice,monsoon,2,year-round,3,0
22.70883798,30.338562577902906,82.63941394,43.62668228189967,271.3248604,rice,monsoon,2,winter,0,0
22.70883798,30.338562577902906,82.63941394,43.62668228189967,271.3248604,rice,monsoon,2,summer,1,0
22.70883798,30.338562577902906,82.63941394,43.62668228189967,271.3248604,rice,monsoon,2,monsoon,2,1
22.70883798,30.338562577902906,82.63941394,43.62668228189967,271.3248604,rice,monsoon,2,year-round,3,0
20.27774362,30.338562577902906,82.89408619,43.62668228189967,241.9741949,rice,monsoon,2,winter,0,0
20.27774362,30.338562577902906,82.89408619,43.62668228189967,241.9741949,rice,monsoon,2,summer,1,0
20.27774362,30.338562577902906,82.89408619,43.62668228189967,241.9741949,rice,monsoon,2,monsoon,2,1
20.27774362,30.338562577902906,82.89408619,43.62668228189967,241.9741949,rice,monsoon,2,year-round,3,0
24.51588066,30.338562577902906,83.5352163,43.62668228189967,230.4462359,rice,monsoon,2,winter,0,0
24.51588066,30.338562577902906,83.5352163,43.62668228189967,230.4462359,rice,monsoon,2,summer,1,0
24.51588066,30.338562577902906,83.5352163,43.62668228189967,230.4462359,rice,monsoon,2,monsoon,2,1
24.51588066,30.338562577902906,83.5352163,43.62668228189967,230.4462359,rice,monsoon,2,year-round,3,0
23.22397386,30.338562577902906,83.03322691,43.62668228189967,221.2091958,rice,monsoon,2,winter,0,0
23.22397386,30.338562577902906,83.03322691,43.62668228189967,221.2091958,rice,monsoon,2,summer,1,0
23.22397386,30.338562577902906,83.03322691,43.62668228189967,221.2091958,rice,monsoon,2,monsoon,2,1
23.22397386,30.338562577902906,83.03322691,43.62668228189967,221.2091958,rice,monsoon,2,year-round,3,0
26.52723513,30.338562577902906,81.41753846,43.62668228189967,264.6148697,rice,monsoon,2,winter,0,0
26.52723513,30.338562577902906,81.41753846,43.62668228189967,264.6148697,rice,monsoon,2,summer,1,0
26.52723513,30.338562577902906,81.41753846,43.62668228189967,264.6148697,rice,monsoon,2,monsoon,2,1
26.52723513,30.338562577902906,81.41753846,43.62668228189967,264.6148697,rice,monsoon,2,year-round,3,0
23.97898217,30.338562577902906,81.45061596,43.62668228189967,250.0832336,rice,monsoon,2,winter,0,0
23.97898217,30.338562577902906,81.45061596,43.62668228189967,250.0832336,rice,monsoon,2,summer,1,0
23.97898217,30.338562577902906,81.45061596,43.62668228189967,250.0832336,rice,monsoon,2,monsoon,2,1
23.97898217,30.338562577902906,81.45061596,43.62668228189967,250.0832336,rice,monsoon,2,year-round,3,0
26.80079604,30.338562577902906,80.88684822,43.62668228189967,284.4364567,rice,monsoon,2,winter,0,0
26.80079604,30.338562577902906,80.88684822,43.62668228189967,284.4364567,rice,monsoon,2,summer,1,0
26.80079604,30.338562577902906,80.88684822,43.62668228189967,284.4364567,rice,monsoon,2,monsoon,2,1
26.80079604,30.338562577902906,80.88684822,43.62668228189967,284.4364567,rice,monsoon,2,year-round,3,0
24.01497622,30.338562577902906,82.05687182,43.62668228189967,185.2773389,rice,monsoon,2,winter,0,0
24.01497622,30.338562577902906,82.05687182,43.62668228189967,185.2773389,rice,monsoon,2,summer,1,0
24.01497622,30.338562577902906,82.05687182,43.62668228189967,185.2773389,rice,monsoon,2,monsoon,2,1
24.01497622,30.338562577902906,82.05687182,43.62668228189967,185.2773389,rice,monsoon,2,year-round,3,0
25.66585205,30.338562577902906,80.66385045,43.62668228189967,209.5869708,rice,monsoon,2,winter,0,0
25.66585205,30.338562577902906,80.66385045,43.62668228189967,209.5869708,rice,monsoon,2,summer,1,0
25.66585205,30.338562577902906,80.66385045,43.62668228189967,209.5869708,rice,monsoon,2,monsoon,2,1
25.66585205,30.338562577902906,80.66385045,43.62668228189967,209.5869708,rice,monsoon,2,year-round,3,0
24.28209415,30.338562577902906,80.30025587,43.62668228189967,231.0863347,rice,monsoon,2,winter,0,0
24.28209415,30.338562577902906,80.30025587,43.62668228189967,231.0863347,rice,monsoon,2,summer,1,0
24.28209415,30.338562577902906,80.30025587,43.62668228189967,231.0863347,rice,monsoon,2,monsoon,2,1
24.28209415,30.338562577902906,80.30025587,43.62668228189967,231.0863347,rice,monsoon,2,year-round,3,0
21.58711777,30.338562577902906,82.7883708,43.62668228189967,276.6552459,rice,monsoon,2,winter,0,0
21.58711777,30.338562577902906,82.7883708,43.62668228189967,276.6552459,rice,monsoon,2,summer,1,0
21.58711777,30.338562577902906,82.7883708,43.62668228189967,276.6552459,rice,monsoon,2,monsoon,2,1
21.58711777,30.338562577902906,82.7883708,43.62668228189967,276.6552459,rice,monsoon,2,year-round,3,0
23.79391957,30.338562577902906,80.41817957,43.62668228189967,206.2611855,rice,monsoon,2,winter,0,0
23.79391957,30.338562577902906,80.41817957,43.62668228189967,206.2611855,rice,monsoon,2,summer,1,0
23.79391957,30.338562577902906,80.41817957,43.62668228189967,206.2611855,rice,monsoon,2,monsoon,2,1
23.79391957,30.338562577902906,80.41817957,43.62668228189967,206.2611855,rice,monsoon,2,year-round,3,0
21.8652524,30.338562577902906,80.1923008,43.62668228189967,224.5550169,rice,monsoon,2,winter,0,0
21.8652524,30.338562577902906,80.1923008,43.62668228189967,224.5550169,rice,monsoon,2,summer,1,0
21.8652524,30.338562577902906,80.1923008,43.62668228189967,224.5550169,rice,monsoon,2,monsoon,2,1
21.8652524,30.338562577902906,80.1923008,43.62668228189967,224.5550169,rice,monsoon,2,year-round,3,0
23.57943626,30.338562577902906,83.58760316,43.62668228189967,291.2986618,rice,monsoon,2,winter,0,0
23.57943626,30.338562577902906,83.58760316,43.62668228189967,291.2986618,rice,monsoon,2,summer,1,0
23.57943626,30.338562577902906,83.58760316,43.62668228189967,291.2986618,rice,monsoon,2,monsoon,2,1
23.57943626,30.338562577902906,83.58760316,43.62668228189967,291.2986618,rice,monsoon,2,year-round,3,0
21.32504158,30.338562577902906,80.47476396,43.62668228189967,185.4974732,rice,monsoon,2,winter,0,0
21.32504158,30.338562577902906,80.47476396,43.62668228189967,185.4974732,rice,monsoon,2,summer,1,0
21.32504158,30.338562577902906,80.47476396,43.62668228189967,185.4974732,rice,monsoon,2,monsoon,2,1
21.32504158,30.338562577902906,80.47476396,43.62668228189967,185.4974732,rice,monsoon,2,year-round,3,0
25.15745531,30.338562577902906,83.11713476,43.62668228189967,231.3843163,rice,monsoon,2,winter,0,0
25.15745531,30.338562577902906,83.11713476,43.62668228189967,231.3843163,rice,monsoon,2,summer,1,0
25.15745531,30.338562577902906,83.11713476,43.62668228189967,231.3843163,rice,monsoon,2,monsoon,2,1
25.15745531,30.338562577902906,83.11713476,43.62668228189967,231.3843163,rice,monsoon,2,year-round,3,0
21.94766735,30.338562577902906,80.97384195,43.62668228189967,213.3560921,rice,monsoon,2,winter,0,0
21.94766735,30.338562577902906,80.97384195,43.62668228189967,213.3560921,rice,monsoon,2,summer,1,0
21.94766735,30.338562577902906,80.97384195,43.62668228189967,213.3560921,rice,monsoon,2,monsoon,2,1
21.94766735,30.338562577902906,80.97384195,43.62668228189967,213.3560921,rice,monsoon,2,year-round,3,0
21.0525355,30.338562577902906,82.67839517,43.62668228189967,233.1075816,rice,monsoon,2,winter,0,0
21.0525355,30.338562577902906,82.67839517,43.62668228189967,233.1075816,rice,monsoon,2,summer,1,0
21.0525355,30.338562577902906,82.67839517,43.62668228189967,233.1075816,rice,monsoon,2,monsoon,2,1
21.0525355,30.338562577902906,82.67839517,43.62668228189967,233.1075816,rice,monsoon,2,year-round,3,0
23.48381344,30.338562577902906,81.33265073,43.62668228189967,224.0581164,rice,monsoon,2,winter,0,0
23.48381344,30.338562577902906,81.33265073,43.62668228189967,224.0581164,rice,monsoon,2,summer,1,0
23.48381344,30.338562577902906,81.33265073,43.62668228189967,224.0581164,rice,monsoon,2,monsoon,2,1
23.48381344,30.338562577902906,81.33265073,43.62668228189967,224.0581164,rice,monsoon,2,year-round,3,0
25.0756354,30.338562577902906,80.52389148,43.62668228189967,257.0038865,rice,monsoon,2,winter,0,0
25.0756354,30.338562577902906,80.52389148,43.62668228189967,257.0038865,rice,monsoon,2,summer,1,0
25.0756354,30.338562577902906,80.52389148,43.62668228189967,257.0038865,rice,monsoon,2,monsoon,2,1
25.0756354,30.338562577902906,80.52389148,43.62668228189967,257.0038865,rice,monsoon,2,year-round,3,0
26.35927159,30.338562577902906,84.04403589,43.62668228189967,271.3586137,rice,monsoon,2,winter,0,0
26.35927159,30.338562577902906,84.04403589,43.62668228189967,271.3586137,rice,monsoon,2,summer,1,0
26.35927159,30.338562577902906,84.04403589,43.62668228189967,271.3586137,rice,monsoon,2,monsoon,2,1
26.35927159,30.338562577902906,84.04403589,43.62668228189967,271.3586137,rice,monsoon,2,year-round,3,0
24.52922681,30.338562577902906,80.54498576,43.62668228189967,260.2634026,rice,monsoon,2,winter,0,0
24.52922681,30.338562577902906,80.54498576,43.62668228189967,260.2634026,rice,monsoon,2,summer,1,0
24.52922681,30.338562577902906,80.54498576,43.62668228189967,260.2634026,rice,monsoon,2,monsoon,2,1
24.52922681,30.338562577902906,80.54498576,43.62668228189967,260.2634026,rice,monsoon,2,year-round,3,0
20.77576147,30.338562577902906,84.49774397,43.62668228189967,240.0810647,rice,monsoon,2,winter,0,0
20.77576147,30.338562577902906,84.49774397,43.62668228189967,240.0810647,rice,monsoon,2,summer,1,0
20.77576147,30.338562577902906,84.49774397,43.62668228189967,240.0810647,rice,monsoon,2,monsoon,2,1
20.77576147,30.338562577902906,84.49774397,43.62668228189967,240.0810647,rice,monsoon,2,year-round,3,0
22.30157427,30.338562577902906,80.64416466,43.62668228189967,197.9791215,rice,monsoon,2,winter,0,0
22.30157427,30.338562577902906,80.64416466,43.62668228189967,197.9791215,rice,monsoon,2,summer,1,0
22.30157427,30.338562577902906,80.64416466,43.62668228189967,197.9791215,rice,monsoon,2,monsoon,2,1
22.30157427,30.338562577902906,80.64416466,43.62668228189967,197.9791215,rice,monsoon,2,year-round,3,0
21.44653958,30.338562577902906,84.94375962,43.62668228189967,272.2017204,rice,monsoon,2,winter,0,0
21.44653958,30.338562577902906,84.94375962,43.62668228189967,272.2017204,rice,monsoon,2,summer,1,0
21.44653958,30.338562577902906,84.94375962,43.62668228189967,272.2017204,rice,monsoon,2,monsoon,2,1
21.44653958,30.338562577902906,84.94375962,43.62668228189967,272.2017204,rice,monsoon,2,year-round,3,0
22.17931888,30.338562577902906,80.33127223,43.62668228189967,200.0882787,rice,monsoon,2,winter,0,0
22.17931888,30.338562577902906,80.33127223,43.62668228189967,200.0882787,rice,monsoon,2,summer,1,0
